user,route,Flow,Flow_length,Flow_X_length,%_Share
District,9,17.09,90000.0,106550.0,6.671185963381478
Dulles,2,0.81,1700.0,1377.0,0.4681957547871486
Dulles,9,0.81,26859.0,21755.79,1.3621484830621786
Dulles,8,0.81,50710.0,41075.100000000006,1.692881192456585
Dulles,6,0.81,18894.0,15304.140000000001,2.574770347026324
Dulles,4,0.81,14814.0,11999.34,3.2535090254835426
Fairfax,9,20.88,26859.0,560815.9199999999,35.11316089671393
Fairfax,8,20.88,105420.0,928503.9,38.267631470954164
Fairfax,7,9.31,21543.0,200565.33000000002,89.77820636451301
Fairfax,6,8.78,18894.0,165889.31999999998,27.90923907023595
Fairfax,4,8.78,52663.0,144919.34,39.293526198700775
Fairfax,3,3.6199999999999997,30020.0,54336.2,90.46538138127015
Fairfax,2,5.14,45575.0,234255.49999999997,79.64955020736447
Fairfax,1,5.14,15950.0,17880.61,100.0
Loudoun,4,14.137869953,56658.0,211893.574891982,57.452964775815694
Loudoun,9,14.137869953,26859.0,379729.049067627,23.775158160752227
Loudoun,8,14.137869953,50710.0,716931.38531663,29.547819931889823
Loudoun,6,14.137869953,18894.0,267120.914891982,44.940454722344256
Loudoun,3,0.9978699529999999,17217.0,5726.775660267,9.534618618729858
Loudoun,2,12.879999999999999,78896.0,58475.24999999999,19.88225403784837
NPS,9,0.03,26859.0,805.77,0.050449943817117725
NPS,8,0.03,14057.0,421.71,0.01738047935783154
Navy,9,0.07,26859.0,1880.13,0.11771653557327469
Navy,8,0.07,1437.0,100.59,0.004145745698713036
Vienna,9,1.06,26859.0,28470.54,1.7825646815381595
Vienna,8,1.06,50710.0,53752.600000000006,2.2153753876592344
Vienna,7,1.06,21543.0,22835.58,10.22179363548698
WSSC,8,18.509999999999998,77553.0,685557.46,28.254765791983637
WSSC,6,11.989999999999998,12183.0,146074.16999999998,24.575535860393476
WSSC,5,11.989999999999998,28114.0,168543.43,100.0
WSSC,9,18.509999999999998,26859.0,497160.08999999997,31.127615335161636
